Export Parameters
Hansatech Instruments Ltd Handy PEA Data
PEA Plus Version: 1.13
Format:2a
Comment1:                                                                                                   
Comment2:                                                                                                   
Comment3:                                                                                                   
Comment4:                                                                                                   

Calculate PI using Fo=TRUE

Record No,P. Light,P. Dur.(sec),Light,Gain,Dur.(sec),Flash,Date,Time,ID,Scaled,Scale,Offset,Protocol,Dark Offset, ,t for Fm,Area,Fo,Fm,Fv,F1,F2,F3,F4,F5,Fo/Fm,Fv/Fm,PI Inst.,Fv/Fo,Vj,Vi,dVG/dto,dV/dto,Sm,N,Sm/t(Fm),ABS/RC,DIo/RC,TRo/RC,ETo/RC,REo/RC,phi(Po),psi(Eo),phi(Eo),delta(Ro),phi(Ro),ABS/CSo,DIo/CSo,TRo/CSo,ETo/CSo,REo/CSo,ABS/CSm,DIo/CSm,TRo/CSm,ETo/CSm,REo/CSm,gamma(RC)/((1-gamma(RC)),phi(Po)/((1-phi(Po)),psi(Eo)/(1-psi(Eo)),PI abs,dRo/(1-dRo),PI total,DF abs,DF Total,kP / ABS * kF,kN / ABS * kF,Origin to F1,F1 to F3,F1 to F4,F1 to F5,F3 to F4,F4 to F5,F5 to Fm,
78,0,0,1500,1.0,1.00,1,01/01/00,02:20:20,       , NO,-,-,0,0,,500.00,74501,446,2412,1966,512,571,851,1427,1956,0.1849,0.815,2.1846,4.408,0.4990,0.7681,0.3001,0.6867,37.8948,52.1487,0.0758,1.6883,0.3122,1.3761,0.6895,0.319,0.8151,0.5010,0.4084,0.4629,0.1891,446.0000,82.4693,363.5307,182.1352,84.3184,2412.00000,446.0000,1966.00000,985.0000,456.0000,0.5923,4.408,1.0041,2.622,0.8620,2.2598,0.4186,0.3541,0.0018,0.0004,77,434,2156,21189,1722,19033,53235,
79,0,0,1500,1.0,1.00,1,01/01/00,02:20:32,       , NO,-,-,0,0,,290.00,44794,431,2192,1761,563,685,1105,1493,1880,0.1966,0.803,0.8511,4.086,0.6031,0.8228,0.6928,1.2758,25.4369,53.8118,0.0877,2.6333,0.5178,2.1155,0.8397,0.375,0.8034,0.3969,0.3189,0.4464,0.1423,431.0000,84.7450,346.2550,137.4402,61.3467,2192.00000,431.0000,1761.00000,699.0000,312.0000,0.3798,4.086,0.6582,1.021,0.8062,0.8233,0.0091,-0.0844,0.0019,0.0005,67,333,1477,15053,1144,13575,29675,
80,0,0,1500,1.0,1.00,1,01/01/00,02:20:44,       , NO,-,-,0,0,,0.90,0,28,29,1,28,29,29,28,28,0.9655,0.034,0.0003,0.036,0.0000,0.0000,10.0000,3.3333,0.0000,INF,0.0000,INF,INF,INF,INF,INF,0.0345,1.0000,0.0345,1.0000,0.0345,28.0000,27.0345,0.9655,0.9655,0.9655,29.0000,28.0000,1.0000,1.0000,1.0000,0.0000,0.036,INF,INF,INF,INF,INF,INF,0.0012,0.0345,0,0,0,0,0,4,0,
81,0,0,1500,1.0,1.00,1,01/01/00,02:21:09,       , NO,-,-,0,0,,1.20,53,449,1228,779,520,592,867,1277,1593,0.3656,0.634,-0.0323,1.735,1.0629,1.4685,0.9243,1.7886,0.0684,0.1152,0.0570,2.6527,0.9699,1.6828,-0.1058,-0.788,0.6344,-0.0629,-0.0399,7.4490,-0.2972,449.0000,164.1702,284.8298,-17.9161,-133.4568,1228.00000,449.0000,779.0000,-49.0000,-365.0000,0.3770,1.735,-0.0592,-0.039,-1.1551,0.0447,INF,-1.3496,0.0014,0.0008,29,132,0,0,0,0,0,
82,0,0,1500,1.0,1.00,1,01/01/00,02:21:37,       , NO,-,-,0,0,,290.00,44080,475,2059,1584,567,653,986,1376,1754,0.2307,0.769,0.8572,3.335,0.5688,0.8074,0.5429,1.0753,27.8280,52.6087,0.0960,2.4574,0.5669,1.8905,0.8152,0.364,0.7693,0.4312,0.3317,0.4466,0.1481,475.0000,109.5799,365.4201,157.5644,70.3618,2059.00000,475.0000,1584.00000,683.0000,305.0000,0.4069,3.335,0.7580,1.029,0.8069,0.8300,0.0123,-0.0809,0.0016,0.0005,61,318,1428,14219,1110,12790,29800,
83,0,0,1500,1.0,1.00,1,01/01/00,02:21:59,       , NO,-,-,0,0,,1.20,101,460,1443,983,586,704,1107,1464,1801,0.3188,0.681,-0.0118,2.137,1.0214,1.3642,1.2004,2.1940,0.1032,0.2217,0.0860,3.1533,1.0052,2.1481,-0.0459,-0.782,0.6812,-0.0214,-0.0146,17.0476,-0.2481,460.0000,146.6389,313.3611,-6.6944,-114.1234,1443.00000,460.0000,983.0000,-21.0000,-358.0000,0.3171,2.137,-0.0209,-0.014,-1.0623,0.0151,INF,-1.8222,0.0015,0.0007,36,142,51,0,0,0,0,
84,0,0,1500,1.0,1.00,1,01/01/00,02:23:09,       , NO,-,-,0,0,,600.00,39038,441,1869,1428,551,656,1006,1311,1608,0.2360,0.764,0.6108,3.238,0.6092,0.8172,0.7353,1.3189,27.3376,59.1792,0.0456,2.8333,0.6685,2.1648,0.8459,0.396,0.7640,0.3908,0.2986,0.4677,0.1396,441.0000,104.0562,336.9438,131.6629,61.5843,1869.00000,441.0000,1428.00000,558.0000,261.0000,0.3529,3.238,0.6414,0.733,0.8788,0.6442,-0.1349,-0.1910,0.0017,0.0005,54,266,1310,11949,1044,10639,27035,
85,0,0,1500,1.0,1.00,1,01/01/00,02:23:24,       , NO,-,-,0,0,,400.00,34153,446,1948,1502,578,711,1092,1388,1708,0.2290,0.771,0.5627,3.368,0.6272,0.8402,0.8855,1.4336,22.7386,51.9786,0.0568,2.9647,0.6788,2.2859,0.8523,0.365,0.7710,0.3728,0.2875,0.4286,0.1232,446.0000,102.1129,343.8871,128.2136,54.9487,1948.00000,446.0000,1502.00000,560.0000,240.0000,0.3373,3.368,0.5945,0.675,0.7500,0.5065,-0.1705,-0.2954,0.0017,0.0005,56,268,1306,11682,1037,10376,22415,
86,0,0,1500,1.0,1.00,1,01/01/00,02:23:35,       , NO,-,-,0,0,,600.00,43442,451,2026,1575,558,661,1017,1383,1721,0.2226,0.777,0.7710,3.492,0.5917,0.8063,0.6540,1.1979,27.5820,55.8347,0.0460,2.6040,0.5797,2.0243,0.8264,0.392,0.7774,0.4083,0.3174,0.4743,0.1505,451.0000,100.3954,350.6046,143.1357,67.8949,2026.00000,451.0000,1575.00000,643.0000,305.0000,0.3840,3.492,0.6899,0.925,0.9024,0.8349,-0.0337,-0.0784,0.0017,0.0005,60,305,1522,14042,1217,12520,29340,
87,0,0,1500,1.0,1.00,1,01/01/00,02:24:14,       , NO,-,-,0,0,,900.00,41954,445,1747,1302,508,568,800,1131,1454,0.2547,0.745,0.9459,2.926,0.5269,0.7750,0.4608,0.9089,32.2229,55.5837,0.0358,2.3145,0.5896,1.7250,0.8161,0.388,0.7453,0.4731,0.3526,0.4756,0.1677,445.0000,113.3515,331.6485,156.9090,74.6337,1747.00000,445.0000,1302.00000,616.0000,293.0000,0.4321,2.926,0.8980,1.135,0.9071,1.0297,0.0550,0.0127,0.0017,0.0006,50,272,1461,12549,1189,11088,29355,
88,0,0,1500,1.0,1.00,1,01/01/00,02:24:26,       , NO,-,-,0,0,,700.00,27628,468,1564,1096,559,647,928,1181,1375,0.2992,0.701,0.3416,2.342,0.6505,0.8276,0.8029,1.3990,25.2084,54.2116,0.0360,3.0688,0.9183,2.1505,0.7515,0.371,0.7008,0.3495,0.2449,0.4935,0.1208,468.0000,140.0409,327.9591,114.6061,56.5550,1564.00000,468.0000,1096.00000,383.0000,189.0000,0.3259,2.342,0.5372,0.410,0.9742,0.3994,-0.3873,-0.3986,0.0015,0.0006,41,200,940,8202,739,7262,19385,
89,0,0,1500,1.0,1.00,1,01/01/00,02:24:40,       , NO,-,-,0,0,,700.00,35385,508,1742,1234,589,663,936,1229,1491,0.2916,0.708,0.5156,2.429,0.5843,0.7966,0.5997,1.1561,28.6751,56.7404,0.0410,2.7933,0.8146,1.9787,0.8226,0.402,0.7084,0.4157,0.2945,0.4893,0.1441,508.0000,148.1424,359.8576,149.6005,73.1963,1742.00000,508.0000,1234.00000,513.0000,251.0000,0.3580,2.429,0.7115,0.619,0.9580,0.5928,-0.2085,-0.2271,0.0014,0.0006,47,241,1220,10613,979,9393,24725,
90,0,0,1500,1.0,1.00,1,01/01/00,02:25:15,       , NO,-,-,0,0,,600.00,20791,474,1367,893,549,626,850,1050,1205,0.3467,0.653,0.2594,1.884,0.6450,0.8186,0.8623,1.4035,23.2825,50.6610,0.0388,3.3309,1.1550,2.1759,0.7724,0.395,0.6533,0.3550,0.2319,0.5110,0.1185,474.0000,164.3570,309.6430,109.9181,56.1726,1367.00000,474.0000,893.0000,317.0000,162.0000,0.3002,1.884,0.5503,0.311,1.0452,0.3253,-0.5069,-0.4877,0.0014,0.0007,34,161,778,6438,617,5659,14320,
91,0,0,1500,1.0,1.00,1,01/01/00,02:25:35,       , NO,-,-,0,0,,1.20,0,421,1044,623,481,540,761,1088,1288,0.4033,0.597,-0.0286,1.480,1.0706,1.3917,0.9470,1.8192,0.0000,0.0000,0.0000,2.8474,1.1482,1.6992,-0.1200,-0.665,0.5967,-0.0706,-0.0421,5.5455,-0.2337,421.0000,169.7711,251.2289,-17.7433,-98.3946,1044.00000,421.0000,623.0000,-44.0000,-244.0000,0.3512,1.480,-0.0660,-0.034,-1.2200,0.0418,INF,-1.3786,0.0014,0.0010,23,104,0,0,0,0,0,
92,0,0,1500,1.0,1.00,1,01/01/00,02:25:53,       , NO,-,-,0,0,,800.00,46501,441,1796,1355,506,566,812,1190,1495,0.2455,0.754,0.9466,3.073,0.5528,0.7779,0.4428,0.9127,34.3184,56.6629,0.0429,2.1885,0.5374,1.6511,0.7384,0.367,0.7545,0.4472,0.3374,0.4967,0.1676,441.0000,108.2856,332.7144,148.8007,73.9092,1796.00000,441.0000,1355.00000,606.0000,301.0000,0.4569,3.073,0.8091,1.136,0.9869,1.1210,0.0554,0.0496,0.0017,0.0006,52,283,1466,12904,1183,11438,33545,
93,0,0,1500,1.0,1.00,1,01/01/00,02:26:41,       , NO,-,-,0,0,,600.00,36642,449,1712,1263,553,655,970,1245,1468,0.2623,0.738,0.4650,2.813,0.6302,0.8068,0.8076,1.3750,29.0122,63.2972,0.0484,2.9574,0.7756,2.1817,0.8067,0.421,0.7377,0.3698,0.2728,0.5225,0.1425,449.0000,117.7576,331.2424,122.4784,63.9930,1712.00000,449.0000,1263.00000,467.0000,244.0000,0.3381,2.813,0.5867,0.558,1.0942,0.6106,-0.2533,-0.2143,0.0016,0.0006,48,231,1119,10560,889,9440,26035,
94,0,0,1500,1.0,1.00,1,01/01/00,02:26:58,       , NO,-,-,0,0,,700.00,57106,447,2371,1924,533,609,946,1448,1955,0.1885,0.811,1.6151,4.304,0.5203,0.7838,0.3950,0.8645,29.6811,49.3202,0.0424,2.0477,0.3861,1.6617,0.7972,0.359,0.8115,0.4797,0.3893,0.4507,0.1755,447.0000,84.2720,362.7280,174.0114,78.4277,2371.00000,447.0000,1924.00000,923.0000,416.0000,0.4883,4.304,0.9221,1.938,0.8205,1.5903,0.2874,0.2015,0.0018,0.0004,74,407,2161,19782,1754,17621,37250,
95,0,0,1500,1.0,1.00,1,01/01/00,02:27:18,       , NO,-,-,0,0,,600.00,38862,427,1825,1398,531,633,969,1285,1559,0.2340,0.766,0.6247,3.274,0.6137,0.8097,0.7296,1.2923,27.7982,58.5339,0.0463,2.7488,0.6431,2.1057,0.8133,0.401,0.7660,0.3863,0.2959,0.4926,0.1458,427.0000,99.9063,327.0937,126.3452,62.2367,1825.00000,427.0000,1398.00000,540.0000,266.0000,0.3638,3.274,0.6294,0.750,0.9708,0.7277,-0.1252,-0.1380,0.0018,0.0005,53,263,1289,11989,1026,10700,26820,
96,0,0,1500,1.0,1.00,1,01/01/00,02:27:55,       , NO,-,-,0,0,,600.00,38702,460,2089,1629,580,694,1082,1424,1798,0.2202,0.780,0.7381,3.541,0.5918,0.8214,0.6998,1.2728,23.7582,51.0982,0.0396,2.7581,0.6073,2.1508,0.8780,0.384,0.7798,0.4082,0.3183,0.4376,0.1393,460.0000,101.2925,358.7075,146.4337,64.0785,2089.00000,460.0000,1629.00000,665.0000,291.0000,0.3626,3.541,0.6898,0.886,0.7781,0.6892,-0.0527,-0.1617,0.0017,0.0005,62,308,1543,13955,1235,12412,24685,
97,0,0,1500,1.0,1.00,1,01/01/00,02:28:14,       , NO,-,-,0,0,,500.00,41065,454,1927,1473,562,671,1019,1341,1656,0.2356,0.764,0.6431,3.244,0.6022,0.8160,0.7400,1.2786,27.8787,59.1937,0.0558,2.7777,0.6544,2.1233,0.8447,0.391,0.7644,0.3978,0.3041,0.4625,0.1406,454.0000,106.9621,347.0379,138.0612,63.8474,1927.00000,454.0000,1473.00000,586.0000,271.0000,0.3600,3.244,0.6607,0.772,0.8603,0.6639,-0.1126,-0.1779,0.0017,0.0005,56,278,1383,12479,1105,11097,28530,
98,0,0,1500,1.0,1.00,1,01/01/00,02:28:28,       , NO,-,-,0,0,,800.00,63114,463,2292,1829,539,607,910,1426,1872,0.2020,0.798,1.5268,3.950,0.5265,0.7704,0.3718,0.8147,34.5074,53.3916,0.0431,1.9389,0.3917,1.5472,0.7326,0.355,0.7980,0.4735,0.3778,0.4850,0.1832,463.0000,93.5292,369.4708,174.9380,84.8429,2292.00000,463.0000,1829.00000,866.0000,420.0000,0.5157,3.950,0.8993,1.832,0.9417,1.7254,0.2630,0.2369,0.0017,0.0004,71,392,2073,19088,1681,17015,43955,
99,0,0,1500,1.0,1.00,1,01/01/00,02:29:06,       , NO,-,-,0,0,,700.00,36247,401,1554,1153,472,532,794,1116,1321,0.2580,0.742,0.5944,2.875,0.6201,0.7979,0.5204,1.1362,31.4372,57.5982,0.0449,2.4694,0.6372,1.8322,0.6960,0.370,0.7420,0.3799,0.2819,0.5320,0.1499,401.0000,103.4755,297.5245,113.0232,60.1242,1554.00000,401.0000,1153.00000,438.0000,233.0000,0.4050,2.875,0.6126,0.713,1.1366,0.8107,-0.1467,-0.0911,0.0019,0.0006,44,228,1103,9818,875,8715,26385,
100,0,0,1500,1.0,1.00,1,01/01/00,02:29:23,       , NO,-,-,0,0,,700.00,43398,502,1894,1392,587,662,953,1316,1607,0.2650,0.735,0.6530,2.773,0.5848,0.7938,0.5388,1.0800,31.1764,57.5781,0.0445,2.5129,0.6660,1.8468,0.7669,0.381,0.7350,0.4152,0.3052,0.4965,0.1515,502.0000,133.0539,368.9461,153.1975,76.0686,1894.00000,502.0000,1392.00000,578.0000,287.0000,0.3979,2.773,0.7101,0.784,0.9863,0.7728,-0.1059,-0.1119,0.0015,0.0005,53,279,1397,12559,1119,11162,30785,
101,0,0,1500,1.0,1.00,1,01/01/00,02:29:49,       , NO,-,-,0,0,,600.00,37695,455,1778,1323,550,639,954,1294,1530,0.2559,0.744,0.5246,2.908,0.6342,0.8125,0.6727,1.2572,28.4917,56.4854,0.0475,2.6643,0.6818,1.9825,0.7253,0.372,0.7441,0.3658,0.2722,0.5124,0.1395,455.0000,116.4370,338.5630,123.8583,63.4646,1778.00000,455.0000,1323.00000,484.0000,248.0000,0.3753,2.908,0.5769,0.630,1.0508,0.6616,-0.2010,-0.1794,0.0016,0.0006,50,252,1202,10934,950,9732,26710,
102,0,0,1500,1.0,1.00,1,01/01/00,02:31:21,       , NO,-,-,0,0,,300.00,44405,397,2012,1615,485,562,891,1345,1690,0.1973,0.803,1.1022,4.068,0.5870,0.8006,0.4768,1.0196,27.4956,47.7597,0.0917,2.1640,0.4270,1.7370,0.7174,0.346,0.8027,0.4130,0.3315,0.4828,0.1600,397.0000,78.3345,318.6655,131.6098,63.5358,2012.00000,397.0000,1615.00000,667.0000,322.0000,0.4621,4.068,0.7036,1.323,0.9333,1.2345,0.1214,0.0915,0.0020,0.0005,62,330,1637,14963,1307,13327,29380,
103,0,0,1500,1.0,1.00,1,01/01/00,02:31:34,       , NO,-,-,0,0,,300.00,44553,398,2118,1720,488,568,916,1374,1779,0.1879,0.812,1.2602,4.322,0.5674,0.8029,0.4651,1.0039,25.9031,45.8258,0.0863,2.1785,0.4094,1.7691,0.7652,0.349,0.8121,0.4326,0.3513,0.4556,0.1601,398.0000,74.7894,323.2106,139.8074,63.7025,2118.00000,398.0000,1720.00000,744.0000,339.0000,0.4590,4.322,0.7623,1.512,0.8370,1.2658,0.1796,0.1024,0.0020,0.0005,66,353,1786,16242,1433,14456,28245,
104,0,0,1500,1.0,1.00,1,01/01/00,02:35:40,       , NO,-,-,0,0,,0.03,0,4094,4095,1,4095,4095,4095,4095,4095,0.9998,0.000,0.0000,0.000,1.0000,1.0000,0.0000,3.3333,0.0000,0.0000,0.0000,13650.000000,13646.666667,3.3333,0.0000,0.000,0.0002,0.0000,0.0000,INF,0.0000,4094.00000,4093.00024,0.9998,0.0000,0.0000,4095.00000,4094.00000,1.0000,0.0000,0.0000,0.0001,0.000,0.0000,0.000,INF,INF,INF,INF,0.0000,0.0002,0,0,0,0,0,0,0,
105,0,0,1500,1.0,1.00,1,01/01/00,02:36:17,       , NO,-,-,0,0,,600.00,31424,449,1694,1245,551,651,973,1273,1484,0.2651,0.735,0.4093,2.773,0.6618,0.8313,0.8032,1.4029,25.2405,53.5032,0.0421,2.8842,0.7645,2.1197,0.7168,0.358,0.7349,0.3382,0.2485,0.4988,0.1240,449.0000,119.0089,329.9911,111.5874,55.6612,1694.00000,449.0000,1245.00000,421.0000,210.0000,0.3467,2.773,0.5109,0.491,0.9953,0.4889,-0.3087,-0.3108,0.0016,0.0006,47,227,1054,9292,827,8239,22085,
106,0,0,1500,1.0,1.00,1,01/01/00,02:36:30,       , NO,-,-,0,0,,500.00,38956,447,2002,1555,564,668,1047,1398,1720,0.2233,0.777,0.6800,3.479,0.6116,0.8186,0.6688,1.2862,25.0521,52.6859,0.0501,2.7076,0.6045,2.1030,0.8169,0.381,0.7767,0.3884,0.3017,0.4669,0.1409,447.0000,99.8047,347.1953,134.8591,62.9640,2002.00000,447.0000,1555.00000,604.0000,282.0000,0.3693,3.479,0.6351,0.816,0.8758,0.7146,-0.0883,-0.1459,0.0017,0.0005,59,294,1435,13067,1141,11632,25830,
107,0,0,1500,1.0,1.00,1,01/01/00,02:36:45,       , NO,-,-,0,0,,600.00,38450,466,1833,1367,563,655,974,1306,1575,0.2542,0.746,0.5674,2.933,0.6145,0.8113,0.6730,1.2387,28.1270,56.7004,0.0469,2.7031,0.6872,2.0159,0.7772,0.380,0.7458,0.3855,0.2875,0.4896,0.1408,466.0000,118.4703,347.5297,133.9782,65.5908,1833.00000,466.0000,1367.00000,527.0000,258.0000,0.3699,2.933,0.6274,0.681,0.9591,0.6530,-0.1669,-0.1851,0.0016,0.0005,52,261,1279,11478,1018,10198,26920,
108,0,0,1500,1.0,1.00,1,01/01/00,02:37:08,       , NO,-,-,0,0,,600.00,40373,458,1966,1508,571,678,1042,1372,1688,0.2330,0.767,0.6422,3.293,0.6061,0.8156,0.7095,1.2909,26.7723,57.0205,0.0446,2.7767,0.6469,2.1298,0.8389,0.393,0.7670,0.3939,0.3021,0.4680,0.1414,458.0000,106.6958,351.3042,138.3784,64.7630,1966.00000,458.0000,1508.00000,594.0000,278.0000,0.3601,3.293,0.6499,0.771,0.8797,0.6780,-0.1132,-0.1688,0.0017,0.0005,57,284,1404,12786,1120,11381,27530,
109,0,0,1500,1.0,1.00,1,01/01/00,02:37:25,       , NO,-,-,0,0,,900.00,57547,480,2107,1627,557,625,917,1370,1734,0.2278,0.772,1.1036,3.390,0.5470,0.7707,0.4179,0.8953,35.3702,57.8906,0.0393,2.1196,0.4829,1.6367,0.7414,0.375,0.7722,0.4530,0.3498,0.5061,0.1770,480.0000,109.3498,370.6502,167.8975,84.9739,2107.00000,480.0000,1627.00000,737.0000,373.0000,0.4718,3.390,0.8281,1.324,1.0247,1.3570,0.1220,0.1326,0.0016,0.0005,63,342,1776,16344,1434,14569,41140,
110,0,0,1500,1.0,1.00,1,01/01/00,02:37:47,       , NO,-,-,0,0,,600.00,25938,401,1301,900,471,541,773,1011,1146,0.3082,0.692,0.3026,2.244,0.6778,0.8278,0.7778,1.3778,28.8195,58.5839,0.0480,2.9385,0.9057,2.0328,0.6550,0.350,0.6918,0.3222,0.2229,0.5345,0.1191,401.0000,123.5980,277.4020,89.3851,47.7748,1301.00000,401.0000,900.0000,290.0000,155.0000,0.3403,2.244,0.4754,0.363,1.1481,0.4169,-0.4400,-0.3800,0.0017,0.0008,34,165,749,6548,583,5800,19355,
111,0,0,1500,1.0,1.00,1,01/01/00,03:32:51,       , NO,-,-,0,0,,1.90,2,36,37,1,35,36,36,37,36,0.9730,0.027,INF,0.028,1.0000,0.0000,10.0000,0.0000,1.7150,0.0000,0.9026,0.0000,0.0000,0.0000,0.0000,0.000,0.0270,0.0000,0.0000,INF,0.0270,36.0000,35.0270,0.9730,0.0000,0.9730,37.0000,36.0000,1.0000,0.0000,1.0000,INF,0.028,0.0000,INF,-1.0000,INF,INF,INF,0.0008,0.0270,0,0,2,22,2,21,0,
112,0,0,1500,1.0,1.00,1,01/01/00,03:33:26,       , NO,-,-,0,0,,800.00,48521,408,1528,1120,470,530,752,1073,1281,0.2670,0.733,0.6653,2.745,0.5938,0.7795,0.5357,1.0238,43.3226,74.7016,0.0542,2.3525,0.6281,1.7243,0.7005,0.380,0.7330,0.4063,0.2978,0.5429,0.1616,408.0000,108.9424,299.0576,121.4921,65.9529,1528.00000,408.0000,1120.00000,455.0000,247.0000,0.4251,2.745,0.6842,0.798,1.1875,0.9481,-0.0978,-0.0231,0.0018,0.0007,43,227,1131,10808,904,9677,37670,
113,0,0,1500,1.0,1.00,1,01/01/00,03:33:41,       , NO,-,-,0,0,,700.00,61871,455,2049,1594,534,608,901,1326,1697,0.2221,0.778,1.1045,3.503,0.5464,0.7792,0.4642,0.9327,38.8152,66.2518,0.0555,2.1941,0.4872,1.7069,0.7742,0.377,0.7779,0.4536,0.3529,0.4869,0.1718,455.0000,101.0371,353.9629,160.5490,78.1650,2049.00000,455.0000,1594.00000,723.0000,352.0000,0.4558,3.503,0.8301,1.325,0.9488,1.2575,0.1223,0.0995,0.0017,0.0005,61,331,1726,16110,1395,14384,45700,
114,0,0,1500,1.0,1.00,1,01/01/00,03:34:31,       , NO,-,-,0,0,,800.00,66719,446,1904,1458,495,537,741,1197,1542,0.2342,0.766,1.4999,3.269,0.5151,0.7517,0.2881,0.6744,45.7610,59.9178,0.0572,1.7099,0.4005,1.3094,0.6349,0.325,0.7658,0.4849,0.3713,0.5120,0.1901,446.0000,104.4727,341.5273,165.6103,84.7962,1904.00000,446.0000,1458.00000,707.0000,362.0000,0.5848,3.269,0.9414,1.800,1.0493,1.8885,0.2552,0.2761,0.0017,0.0005,57,322,1740,16063,1418,14323,50600,
115,0,0,1500,1.0,1.00,1,01/01/00,03:34:46,       , NO,-,-,0,0,,700.00,40455,429,1560,1131,510,589,857,1133,1341,0.2750,0.725,0.4767,2.636,0.6225,0.8064,0.6985,1.2614,35.7692,72.4867,0.0511,2.7952,0.7687,2.0265,0.7651,0.392,0.7250,0.3775,0.2737,0.5129,0.1404,429.0000,117.9750,311.0250,117.4250,60.2250,1560.00000,429.0000,1131.00000,427.0000,219.0000,0.3578,2.636,0.6065,0.572,1.0529,0.6023,-0.2426,-0.2202,0.0017,0.0006,43,215,1042,9782,827,8740,30630,
116,0,0,1500,1.0,1.00,1,01/01/00,03:35:11,       , NO,-,-,0,0,,800.00,69583,454,2000,1546,505,550,762,1224,1584,0.2270,0.773,1.6580,3.405,0.4981,0.7309,0.2911,0.6641,45.0087,60.0116,0.0563,1.7249,0.3915,1.3333,0.6693,0.359,0.7730,0.5019,0.3880,0.5361,0.2080,454.0000,103.0580,350.9420,176.1520,94.4320,2000.00000,454.0000,1546.00000,776.0000,416.0000,0.5797,3.405,1.0078,1.990,1.1556,2.2991,0.2988,0.3616,0.0017,0.0005,60,342,1876,18008,1533,16132,51515,
117,0,0,1500,1.0,1.00,1,01/01/00,03:35:37,       , NO,-,-,0,0,,600.00,42469,378,1439,1061,417,454,616,964,1191,0.2627,0.737,1.0326,2.807,0.5523,0.7663,0.3487,0.7477,40.0271,54.1891,0.0667,1.8361,0.4823,1.3538,0.6061,0.316,0.7373,0.4477,0.3301,0.5221,0.1723,378.0000,99.2940,278.7060,124.7741,65.1452,1439.00000,378.0000,1061.00000,475.0000,248.0000,0.5446,2.807,0.8106,1.239,1.0925,1.3538,0.0931,0.1315,0.0020,0.0007,41,231,1203,10787,972,9584,31640,
118,0,0,1500,1.0,1.00,1,01/01/00,03:35:48,       , NO,-,-,0,0,,800.00,51511,472,1806,1334,543,608,866,1231,1509,0.2614,0.739,0.7617,2.826,0.5690,0.7774,0.4873,0.9845,38.6140,66.8156,0.0483,2.3426,0.6122,1.7303,0.7458,0.385,0.7386,0.4310,0.3184,0.5165,0.1645,472.0000,123.3577,348.6423,150.2769,77.6213,1806.00000,472.0000,1334.00000,575.0000,297.0000,0.4269,2.826,0.7576,0.914,1.0683,0.9765,-0.0391,-0.0103,0.0016,0.0006,51,274,1391,13110,1117,11719,38350,
119,0,0,1500,1.0,1.00,1,01/01/00,03:36:00,       , NO,-,-,0,0,,700.00,63694,512,2211,1699,595,669,973,1395,1837,0.2316,0.768,1.1284,3.318,0.5197,0.7799,0.4356,0.9045,37.4893,65.2419,0.0536,2.2647,0.5244,1.7403,0.8358,0.383,0.7684,0.4803,0.3691,0.4583,0.1692,512.0000,118.5635,393.4365,188.9607,86.6070,2211.00000,512.0000,1699.00000,816.0000,374.0000,0.4416,3.318,0.9241,1.354,0.8462,1.1457,0.1316,0.0591,0.0015,0.0005,66,356,1899,17634,1543,15735,45995,
120,0,0,1500,1.0,1.00,1,01/01/00,03:36:44,       , NO,-,-,0,0,,700.00,65201,469,2357,1888,564,650,991,1457,1977,0.1990,0.801,1.3899,4.026,0.5233,0.7987,0.4555,0.9216,34.5343,60.8196,0.0493,2.1986,0.4375,1.7611,0.8395,0.354,0.8010,0.4767,0.3818,0.4222,0.1612,469.0000,93.3224,375.6776,179.0836,75.6131,2357.00000,469.0000,1888.00000,900.0000,380.0000,0.4548,4.026,0.9109,1.668,0.7308,1.2188,0.2222,0.0859,0.0017,0.0004,73,392,1912,18428,1519,16516,46700,
121,0,0,1500,1.0,1.00,1,01/01/00,03:37:03,       , NO,-,-,0,0,,700.00,63061,478,2277,1799,566,650,973,1426,1896,0.2099,0.790,1.2780,3.764,0.5270,0.7882,0.4669,0.9172,35.0536,61.0109,0.0501,2.2030,0.4625,1.7405,0.8233,0.369,0.7901,0.4730,0.3737,0.4477,0.1673,478.0000,100.3443,377.6557,178.6465,79.9816,2277.00000,478.0000,1799.00000,851.0000,381.0000,0.4539,3.764,0.8977,1.534,0.8106,1.2432,0.1857,0.0945,0.0017,0.0004,69,375,1987,18302,1612,16315,44690,
122,0,0,1500,1.0,1.00,1,01/01/00,03:37:16,       , NO,-,-,0,0,,700.00,73456,455,2193,1738,520,579,840,1324,1780,0.2075,0.793,1.7082,3.820,0.5000,0.7624,0.3395,0.7384,42.2645,62.4159,0.0604,1.8634,0.3866,1.4768,0.7384,0.351,0.7925,0.5000,0.3963,0.4753,0.1883,455.0000,94.4026,360.5974,180.2987,85.6886,2193.00000,455.0000,1738.00000,869.0000,413.0000,0.5367,3.820,1.0000,2.050,0.9057,1.8566,0.3117,0.2687,0.0017,0.0005,68,378,2065,18868,1687,16803,54520,
