Export Parameters
Hansatech Instruments Ltd Handy PEA Data
PEA Plus Version: 1.13
Format:2a
Comment1:                                                                                                   
Comment2:                                                                                                   
Comment3:                                                                                                   
Comment4:                                                                                                   

Calculate PI using Fo=TRUE

Record No,P. Light,P. Dur.(sec),Light,Gain,Dur.(sec),Flash,Date,Time,ID,Scaled,Scale,Offset,Protocol,Dark Offset, ,t for Fm,Area,Fo,Fm,Fv,F1,F2,F3,F4,F5,Fo/Fm,Fv/Fm,PI Inst.,Fv/Fo,Vj,Vi,dVG/dto,dV/dto,Sm,N,Sm/t(Fm),ABS/RC,DIo/RC,TRo/RC,ETo/RC,REo/RC,phi(Po),psi(Eo),phi(Eo),delta(Ro),phi(Ro),ABS/CSo,DIo/CSo,TRo/CSo,ETo/CSo,REo/CSo,ABS/CSm,DIo/CSm,TRo/CSm,ETo/CSm,REo/CSm,gamma(RC)/((1-gamma(RC)),phi(Po)/((1-phi(Po)),psi(Eo)/(1-psi(Eo)),PI abs,dRo/(1-dRo),PI total,DF abs,DF Total,kP / ABS * kF,kN / ABS * kF,Origin to F1,F1 to F3,F1 to F4,F1 to F5,F3 to F4,F4 to F5,F5 to Fm,
21,0,0,1500,1.0,1.00,1,01/01/00,01:56:51,       , NO,-,-,0,0,,0.05,0,31,34,3,34,30,29,29,29,0.9118,0.088,-0.0053,0.097,-0.6667,-0.6667,-13.3333,-2.2222,0.0533,0.1778,1.0667,37.7778,34.4444,3.3333,5.5556,5.556,0.0882,1.6667,0.1471,1.0000,0.1471,31.0000,28.2647,2.7353,4.5588,4.5588,34.0000,31.0000,3.0000,5.0000,5.0000,0.0265,0.097,-2.5000,-0.006,INF,INF,INF,INF,0.0028,0.0294,0,1,9,149,8,140,0,
22,0,0,1500,1.0,1.00,1,01/01/00,01:57:11,       , NO,-,-,0,0,,600.00,74023,449,2411,1962,527,595,912,1471,1947,0.1862,0.814,1.8049,4.370,0.5209,0.7635,0.3466,0.7866,37.7282,56.9738,0.0629,1.8557,0.3456,1.5101,0.7235,0.357,0.8138,0.4791,0.3899,0.4936,0.1925,449.0000,83.6172,365.3828,175.0560,86.4106,2411.00000,449.0000,1962.00000,940.0000,464.0000,0.5389,4.370,0.9198,2.166,0.9748,2.1112,0.3356,0.3245,0.0018,0.0004,76,423,2066,20952,1643,18885,52995,
23,0,0,1500,1.0,1.00,1,01/01/00,01:57:31,       , NO,-,-,0,0,,1.20,69,443,1245,802,517,586,873,1296,1585,0.3558,0.644,-0.0346,1.810,1.0636,1.4239,0.8603,1.7872,0.0864,0.1452,0.0720,2.6085,0.9282,1.6803,-0.1069,-0.712,0.6442,-0.0636,-0.0410,6.6667,-0.2731,443.0000,157.6297,285.3703,-18.1470,-120.9799,1245.00000,443.0000,802.0000,-51.0000,-340.0000,0.3834,1.810,-0.0598,-0.041,-1.1765,0.0488,INF,-1.3114,0.0015,0.0008,30,136,16,0,0,0,0,
24,0,0,1500,1.0,1.00,1,01/01/00,01:58:06,       , NO,-,-,0,0,,600.00,62870,466,2118,1652,539,604,889,1349,1730,0.2200,0.780,1.2567,3.545,0.5345,0.7651,0.3935,0.8535,38.0567,60.7700,0.0634,2.0473,0.4504,1.5968,0.7433,0.375,0.7800,0.4655,0.3631,0.5046,0.1832,466.0000,102.5288,363.4712,169.1945,85.3673,2118.00000,466.0000,1652.00000,769.0000,388.0000,0.4885,3.545,0.8709,1.508,1.0184,1.5358,0.1784,0.1863,0.0017,0.0005,64,351,1642,17091,1291,15449,45715,
25,0,0,1500,1.0,1.00,1,01/01/00,01:58:30,       , NO,-,-,0,0,,1.20,68,468,1295,827,555,634,942,1341,1616,0.3614,0.639,-0.0274,1.767,1.0556,1.3881,0.9553,1.9105,0.0827,0.1497,0.0689,2.8340,1.0242,1.8099,-0.1007,-0.702,0.6386,-0.0556,-0.0355,6.9783,-0.2479,468.0000,169.1305,298.8695,-16.6239,-116.0062,1295.00000,468.0000,827.0000,-46.0000,-321.0000,0.3529,1.767,-0.0527,-0.033,-1.1673,0.0384,INF,-1.4162,0.0014,0.0008,31,134,14,0,0,0,0,
26,0,0,1500,1.0,1.00,1,01/01/00,01:58:49,       , NO,-,-,0,0,,0.20,0,24,26,2,26,25,25,24,24,0.9231,0.077,0.0032,0.083,0.0000,0.0000,-5.0000,1.6667,0.0525,INF,0.2625,INF,INF,INF,INF,INF,0.0769,1.0000,0.0769,1.0000,0.0769,24.0000,22.1538,1.8462,1.8462,1.8462,26.0000,24.0000,2.0000,2.0000,2.0000,0.0000,0.083,INF,INF,INF,INF,INF,INF,0.0032,0.0385,0,0,3,47,3,44,0,
27,0,0,1500,1.0,1.00,1,01/01/00,01:59:13,       , NO,-,-,0,0,,1.20,3,455,1169,714,534,607,878,1206,1445,0.3892,0.611,-0.0210,1.569,1.0518,1.3866,1.0224,1.9748,0.0044,0.0083,0.0037,3.0739,1.1964,1.8775,-0.0973,-0.726,0.6108,-0.0518,-0.0317,7.4595,-0.2361,455.0000,177.0958,277.9042,-14.4012,-107.4251,1169.00000,455.0000,714.0000,-37.0000,-276.0000,0.3253,1.569,-0.0493,-0.025,-1.1548,0.0290,INF,-1.5369,0.0013,0.0009,26,112,0,0,0,0,0,
28,0,0,1500,1.0,1.00,1,01/01/00,01:59:27,       , NO,-,-,0,0,,1.20,0,461,1046,585,525,587,809,1083,1241,0.4407,0.559,-0.0189,1.269,1.0632,1.3333,1.0598,1.9829,0.0000,0.0000,0.0000,3.3346,1.4696,1.8650,-0.1180,-0.622,0.5593,-0.0632,-0.0354,5.2703,-0.1864,461.0000,203.1750,257.8250,-16.3069,-85.9417,1046.00000,461.0000,585.0000,-37.0000,-195.0000,0.2999,1.269,-0.0595,-0.023,-1.2342,0.0279,INF,-1.5538,0.0012,0.0010,22,92,0,0,0,0,0,
29,0,0,1500,1.0,1.00,1,01/01/00,01:59:51,       , NO,-,-,0,0,,1.20,0,414,947,533,488,563,781,973,1073,0.4372,0.563,-0.0128,1.287,1.0488,1.2364,1.4071,2.2952,0.0000,0.0000,0.0000,3.8883,1.6998,2.1884,-0.1068,-0.517,0.5628,-0.0488,-0.0275,4.8462,-0.1331,414.0000,180.9884,233.0116,-11.3664,-55.0834,947.0000,414.0000,533.0000,-26.0000,-126.0000,0.2572,1.287,-0.0465,-0.015,-1.2600,0.0194,INF,-1.7121,0.0014,0.0011,19,73,0,0,0,0,0,
30,0,0,1500,1.0,1.00,1,01/01/00,02:01:00,       , NO,-,-,0,0,,400.00,28042,358,1532,1174,454,540,854,1133,1333,0.2337,0.766,0.5054,3.279,0.6601,0.8305,0.7325,1.4083,23.8863,50.9574,0.0597,2.7839,0.6505,2.1333,0.7250,0.362,0.7663,0.3399,0.2604,0.4987,0.1299,358.0000,83.6580,274.3420,93.2389,46.5026,1532.00000,358.0000,1174.00000,399.0000,199.0000,0.3592,3.279,0.5148,0.606,0.9950,0.6034,-0.2172,-0.2194,0.0021,0.0007,44,215,994,9103,779,8109,18895,
31,0,0,1500,1.0,1.00,1,01/01/00,02:01:22,       , NO,-,-,0,0,,700.00,66511,434,2186,1752,509,576,874,1394,1793,0.1985,0.801,1.4559,4.037,0.5479,0.7757,0.3824,0.8371,37.9631,57.9991,0.0542,1.9062,0.3785,1.5278,0.6906,0.343,0.8015,0.4521,0.3623,0.4962,0.1798,434.0000,86.1647,347.8353,157.2406,78.0247,2186.00000,434.0000,1752.00000,792.0000,393.0000,0.5246,4.037,0.8250,1.747,0.9850,1.7208,0.2423,0.2357,0.0018,0.0005,68,374,1944,17878,1571,15934,48565,
32,0,0,1500,1.0,1.00,1,01/01/00,02:01:35,       , NO,-,-,0,0,,400.00,64914,428,2549,2121,522,607,975,1553,2118,0.1679,0.832,1.8771,4.956,0.5304,0.7968,0.4008,0.8597,30.6053,49.6033,0.0765,1.9478,0.3271,1.6207,0.7611,0.329,0.8321,0.4696,0.3907,0.4327,0.1691,428.0000,71.8650,356.1350,167.2373,72.3688,2549.00000,428.0000,2121.00000,996.0000,431.0000,0.5134,4.956,0.8853,2.252,0.7628,1.7183,0.3527,0.2351,0.0019,0.0004,82,450,2199,21362,1749,19163,43470,
